EmpID,ProjectID,DateFrom,DateTo
1,1,2000-01-01,2010-01-01
2,1,2005-01-01,2010-01-01
3,1,2010-01-01,2015-01-01
4,1,2015-01-01,2020-01-01
5,1,2007-01-01,2013-01-01
1,2,"Tue, 7 March 2000","Wed, 26 April 2000"
2,2,"Wed, 3 April 2002","Mon, 3 June 2002"
3,2,"Tue, 8 October 2002",Fri 8 November 2002
4,2,"Tue, 5 April 2005","Fri, 23 September 2005"
5,2,"Tue, 29 November 2005","Thu, 20 November 2008"
1,3,2000-01-01,2005-01-01
2,3,2005-01-01,2010-01-01
3,3,2010-01-01,2015-01-01
4,3,2015-01-01,2020-01-01
5,3,2007-01-01,2013-01-01
1,4,2000-01-01,null
2,4,2005-01-01,null
3,4,2010-01-01,null
4,4,2015-01-01,null
5,4,2007-01-01,null
11,7,2000-01-01,2010-01-01
11,7,2005-01-01,2010-01-01
12,7,2010-01-01,2015-01-01
12,7,2015-01-01,2020-01-01
13,7,2007-01-01,2013-01-01
5,8a,null,null
2,8b,null,null
6,8c,null,null
a,8d,null,null
g,8e,null,null
